environment,level,official_baseline_actions,derived_baseline_actions,n_participants_with_completion,exact_agreement,relative_difference
r11l-495a7899,2,33,33,10,1,0.0
r11l-495a7899,3,51,51,10,1,0.0
r11l-495a7899,4,26,26,10,1,0.0
r11l-495a7899,5,52,52,10,1,0.0
r11l-495a7899,6,49,49,10,1,0.0
re86-8af5384d,1,26,26,11,1,0.0
re86-8af5384d,2,42,42,11,1,0.0
re86-8af5384d,3,86,86,8,1,0.0
re86-8af5384d,4,108,108,8,1,0.0
re86-8af5384d,5,189,189,8,1,0.0
re86-8af5384d,6,139,139,8,1,0.0
re86-8af5384d,7,424,424,5,1,0.0
re86-8af5384d,8,241,241,5,1,0.0
s5i5-18d95033,1,20,20,11,1,0.0
s5i5-18d95033,2,89,89,10,1,0.0
s5i5-18d95033,3,106,106,7,1,0.0
s5i5-18d95033,4,54,54,7,1,0.0
s5i5-18d95033,5,162,162,5,1,0.0
s5i5-18d95033,6,38,38,5,1,0.0
s5i5-18d95033,7,86,86,5,1,0.0
s5i5-18d95033,8,83,83,4,1,0.0
sb26-7fbdac44,1,18,18,11,1,0.0
sb26-7fbdac44,2,28,28,10,1,0.0
sb26-7fbdac44,3,18,18,10,1,0.0
sb26-7fbdac44,4,19,19,10,1,0.0
sb26-7fbdac44,5,31,31,7,1,0.0
sb26-7fbdac44,6,23,23,7,1,0.0
sb26-7fbdac44,7,58,58,6,1,0.0
sb26-7fbdac44,8,18,18,5,1,0.0
sc25-635fd71a,1,36,36,13,1,0.0
sc25-635fd71a,2,6,6,13,1,0.0
sc25-635fd71a,3,32,32,13,1,0.0
sc25-635fd71a,4,83,83,13,1,0.0
sc25-635fd71a,5,143,143,11,1,0.0
sc25-635fd71a,6,50,50,10,1,0.0
sk48-d8078629,1,61,61,14,1,0.0
sk48-d8078629,2,177,177,13,1,0.0
sk48-d8078629,3,101,101,13,1,0.0
sk48-d8078629,4,103,103,10,1,0.0
sk48-d8078629,5,230,230,8,1,0.0
sk48-d8078629,6,181,181,8,1,0.0
sk48-d8078629,7,125,125,8,1,0.0
sk48-d8078629,8,92,92,7,1,0.0
sp80-589a99af,1,39,39,11,1,0.0
sp80-589a99af,2,58,58,7,1,0.0
sp80-589a99af,3,25,25,5,1,0.0
sp80-589a99af,4,148,148,5,1,0.0
sp80-589a99af,5,96,96,3,1,0.0
sp80-589a99af,6,152,152,2,1,0.0
su15-1944f8ab,1,22,22,13,1,0.0
su15-1944f8ab,2,42,42,8,1,0.0
su15-1944f8ab,3,26,26,8,1,0.0
su15-1944f8ab,4,115,115,6,1,0.0
su15-1944f8ab,5,36,36,3,1,0.0
su15-1944f8ab,6,31,31,3,1,0.0
su15-1944f8ab,7,8,8,3,1,0.0
su15-1944f8ab,8,40,40,3,1,0.0
su15-1944f8ab,9,41,41,3,1,0.0
tn36-ef4dde99,1,32,32,10,1,0.0
tn36-ef4dde99,2,72,72,9,1,0.0
tn36-ef4dde99,3,26,26,9,1,0.0
tn36-ef4dde99,4,40,40,9,1,0.0
tn36-ef4dde99,5,30,30,9,1,0.0
tn36-ef4dde99,6,55,55,9,1,0.0
tn36-ef4dde99,7,62,62,6,1,0.0
tr87-cd924810,1,54,54,11,1,0.0
tr87-cd924810,2,58,58,11,1,0.0
tr87-cd924810,3,40,40,11,1,0.0
tr87-cd924810,4,45,45,10,1,0.0
tr87-cd924810,5,71,71,9,1,0.0
tr87-cd924810,6,146,146,6,1,0.0
tu93-0768757b,1,19,19,13,1,0.0
tu93-0768757b,2,16,16,13,1,0.0
tu93-0768757b,3,34,34,13,1,0.0
tu93-0768757b,4,42,42,11,1,0.0
tu93-0768757b,5,123,123,9,1,0.0
tu93-0768757b,6,80,80,9,1,0.0
tu93-0768757b,7,14,14,9,1,0.0
tu93-0768757b,8,23,23,9,1,0.0
tu93-0768757b,9,111,111,9,1,0.0
vc33-5430563c,1,7,13,9,0,0.8571428571428571
vc33-5430563c,2,18,18,9,1,0.0
vc33-5430563c,3,44,119,8,0,1.7045454545454546
vc33-5430563c,4,61,50,7,0,-0.18032786885245902
vc33-5430563c,5,131,120,7,0,-0.08396946564885496
vc33-5430563c,6,34,39,7,0,0.14705882352941177
vc33-5430563c,7,152,155,6,0,0.019736842105263157
wa30-ee6fef47,1,71,71,13,1,0.0
wa30-ee6fef47,2,119,119,11,1,0.0
wa30-ee6fef47,3,183,183,10,1,0.0
wa30-ee6fef47,4,98,98,10,1,0.0
wa30-ee6fef47,5,368,368,10,1,0.0
wa30-ee6fef47,6,68,68,9,1,0.0
wa30-ee6fef47,7,79,79,8,1,0.0
wa30-ee6fef47,8,442,442,8,1,0.0
wa30-ee6fef47,9,415,415,5,1,0.0
