metric,value
official_baseline_actions[lf52-271a04aa][4],71
derived_baseline_actions[lf52-271a04aa][4],71
official_baseline_actions[lf52-271a04aa][5],205
derived_baseline_actions[lf52-271a04aa][5],205
official_baseline_actions[lf52-271a04aa][6],148
derived_baseline_actions[lf52-271a04aa][6],148
official_baseline_actions[lf52-271a04aa][7],244
derived_baseline_actions[lf52-271a04aa][7],244
official_baseline_actions[lf52-271a04aa][8],109
derived_baseline_actions[lf52-271a04aa][8],109
official_baseline_actions[lf52-271a04aa][9],164
derived_baseline_actions[lf52-271a04aa][9],164
official_baseline_actions[lf52-271a04aa][10],225
derived_baseline_actions[lf52-271a04aa][10],225
official_baseline_actions[lp85-305b61c3][1],17
derived_baseline_actions[lp85-305b61c3][1],18
official_baseline_actions[lp85-305b61c3][2],38
derived_baseline_actions[lp85-305b61c3][2],39
official_baseline_actions[lp85-305b61c3][3],31
derived_baseline_actions[lp85-305b61c3][3],43
official_baseline_actions[lp85-305b61c3][4],16
derived_baseline_actions[lp85-305b61c3][4],23
official_baseline_actions[lp85-305b61c3][5],41
derived_baseline_actions[lp85-305b61c3][5],39
official_baseline_actions[lp85-305b61c3][6],60
derived_baseline_actions[lp85-305b61c3][6],60
official_baseline_actions[lp85-305b61c3][7],26
derived_baseline_actions[lp85-305b61c3][7],57
official_baseline_actions[lp85-305b61c3][8],159
derived_baseline_actions[lp85-305b61c3][8],131
official_baseline_actions[ls20-9607627b][1],22
derived_baseline_actions[ls20-9607627b][1],22
official_baseline_actions[ls20-9607627b][2],123
derived_baseline_actions[ls20-9607627b][2],123
official_baseline_actions[ls20-9607627b][3],73
derived_baseline_actions[ls20-9607627b][3],73
official_baseline_actions[ls20-9607627b][4],84
derived_baseline_actions[ls20-9607627b][4],84
official_baseline_actions[ls20-9607627b][5],96
derived_baseline_actions[ls20-9607627b][5],96
official_baseline_actions[ls20-9607627b][6],192
derived_baseline_actions[ls20-9607627b][6],192
official_baseline_actions[ls20-9607627b][7],186
derived_baseline_actions[ls20-9607627b][7],186
official_baseline_actions[m0r0-492f87ba][1],30
derived_baseline_actions[m0r0-492f87ba][1],30
official_baseline_actions[m0r0-492f87ba][2],111
derived_baseline_actions[m0r0-492f87ba][2],111
official_baseline_actions[m0r0-492f87ba][3],203
derived_baseline_actions[m0r0-492f87ba][3],203
official_baseline_actions[m0r0-492f87ba][4],26
derived_baseline_actions[m0r0-492f87ba][4],26
official_baseline_actions[m0r0-492f87ba][5],500
derived_baseline_actions[m0r0-492f87ba][5],500
official_baseline_actions[m0r0-492f87ba][6],237
derived_baseline_actions[m0r0-492f87ba][6],237
official_baseline_actions[r11l-495a7899][1],22
derived_baseline_actions[r11l-495a7899][1],22
official_baseline_actions[r11l-495a7899][2],33
derived_baseline_actions[r11l-495a7899][2],33
official_baseline_actions[r11l-495a7899][3],51
derived_baseline_actions[r11l-495a7899][3],51
official_baseline_actions[r11l-495a7899][4],26
derived_baseline_actions[r11l-495a7899][4],26
official_baseline_actions[r11l-495a7899][5],52
derived_baseline_actions[r11l-495a7899][5],52
official_baseline_actions[r11l-495a7899][6],49
derived_baseline_actions[r11l-495a7899][6],49
official_baseline_actions[re86-8af5384d][1],26
derived_baseline_actions[re86-8af5384d][1],26
official_baseline_actions[re86-8af5384d][2],42
derived_baseline_actions[re86-8af5384d][2],42
official_baseline_actions[re86-8af5384d][3],86
derived_baseline_actions[re86-8af5384d][3],86
official_baseline_actions[re86-8af5384d][4],108
derived_baseline_actions[re86-8af5384d][4],108
official_baseline_actions[re86-8af5384d][5],189
derived_baseline_actions[re86-8af5384d][5],189
official_baseline_actions[re86-8af5384d][6],139
derived_baseline_actions[re86-8af5384d][6],139
official_baseline_actions[re86-8af5384d][7],424
derived_baseline_actions[re86-8af5384d][7],424
official_baseline_actions[re86-8af5384d][8],241
derived_baseline_actions[re86-8af5384d][8],241
official_baseline_actions[s5i5-18d95033][1],20
derived_baseline_actions[s5i5-18d95033][1],20
official_baseline_actions[s5i5-18d95033][2],89
derived_baseline_actions[s5i5-18d95033][2],89
official_baseline_actions[s5i5-18d95033][3],106
derived_baseline_actions[s5i5-18d95033][3],106
official_baseline_actions[s5i5-18d95033][4],54
derived_baseline_actions[s5i5-18d95033][4],54
official_baseline_actions[s5i5-18d95033][5],162
derived_baseline_actions[s5i5-18d95033][5],162
official_baseline_actions[s5i5-18d95033][6],38
derived_baseline_actions[s5i5-18d95033][6],38
official_baseline_actions[s5i5-18d95033][7],86
derived_baseline_actions[s5i5-18d95033][7],86
official_baseline_actions[s5i5-18d95033][8],83
derived_baseline_actions[s5i5-18d95033][8],83
official_baseline_actions[sb26-7fbdac44][1],18
derived_baseline_actions[sb26-7fbdac44][1],18
official_baseline_actions[sb26-7fbdac44][2],28
derived_baseline_actions[sb26-7fbdac44][2],28
official_baseline_actions[sb26-7fbdac44][3],18
derived_baseline_actions[sb26-7fbdac44][3],18
official_baseline_actions[sb26-7fbdac44][4],19
derived_baseline_actions[sb26-7fbdac44][4],19
official_baseline_actions[sb26-7fbdac44][5],31
derived_baseline_actions[sb26-7fbdac44][5],31
official_baseline_actions[sb26-7fbdac44][6],23
derived_baseline_actions[sb26-7fbdac44][6],23
official_baseline_actions[sb26-7fbdac44][7],58
derived_baseline_actions[sb26-7fbdac44][7],58
official_baseline_actions[sb26-7fbdac44][8],18
derived_baseline_actions[sb26-7fbdac44][8],18
official_baseline_actions[sc25-635fd71a][1],36
derived_baseline_actions[sc25-635fd71a][1],36
official_baseline_actions[sc25-635fd71a][2],6
derived_baseline_actions[sc25-635fd71a][2],6
official_baseline_actions[sc25-635fd71a][3],32
derived_baseline_actions[sc25-635fd71a][3],32
official_baseline_actions[sc25-635fd71a][4],83
derived_baseline_actions[sc25-635fd71a][4],83
official_baseline_actions[sc25-635fd71a][5],143
derived_baseline_actions[sc25-635fd71a][5],143
official_baseline_actions[sc25-635fd71a][6],50
derived_baseline_actions[sc25-635fd71a][6],50
official_baseline_actions[sk48-d8078629][1],61
derived_baseline_actions[sk48-d8078629][1],61
official_baseline_actions[sk48-d8078629][2],177
derived_baseline_actions[sk48-d8078629][2],177
official_baseline_actions[sk48-d8078629][3],101
derived_baseline_actions[sk48-d8078629][3],101
official_baseline_actions[sk48-d8078629][4],103
derived_baseline_actions[sk48-d8078629][4],103
official_baseline_actions[sk48-d8078629][5],230
derived_baseline_actions[sk48-d8078629][5],230
official_baseline_actions[sk48-d8078629][6],181
derived_baseline_actions[sk48-d8078629][6],181
official_baseline_actions[sk48-d8078629][7],125
derived_baseline_actions[sk48-d8078629][7],125
official_baseline_actions[sk48-d8078629][8],92
derived_baseline_actions[sk48-d8078629][8],92
official_baseline_actions[sp80-589a99af][1],39
derived_baseline_actions[sp80-589a99af][1],39
official_baseline_actions[sp80-589a99af][2],58
derived_baseline_actions[sp80-589a99af][2],58
official_baseline_actions[sp80-589a99af][3],25
derived_baseline_actions[sp80-589a99af][3],25
official_baseline_actions[sp80-589a99af][4],148
derived_baseline_actions[sp80-589a99af][4],148
official_baseline_actions[sp80-589a99af][5],96
derived_baseline_actions[sp80-589a99af][5],96
official_baseline_actions[sp80-589a99af][6],152
derived_baseline_actions[sp80-589a99af][6],152
official_baseline_actions[su15-1944f8ab][1],22
derived_baseline_actions[su15-1944f8ab][1],22
official_baseline_actions[su15-1944f8ab][2],42
derived_baseline_actions[su15-1944f8ab][2],42
official_baseline_actions[su15-1944f8ab][3],26
derived_baseline_actions[su15-1944f8ab][3],26
official_baseline_actions[su15-1944f8ab][4],115
derived_baseline_actions[su15-1944f8ab][4],115
official_baseline_actions[su15-1944f8ab][5],36
derived_baseline_actions[su15-1944f8ab][5],36
official_baseline_actions[su15-1944f8ab][6],31
derived_baseline_actions[su15-1944f8ab][6],31
official_baseline_actions[su15-1944f8ab][7],8
derived_baseline_actions[su15-1944f8ab][7],8
official_baseline_actions[su15-1944f8ab][8],40
derived_baseline_actions[su15-1944f8ab][8],40
official_baseline_actions[su15-1944f8ab][9],41
derived_baseline_actions[su15-1944f8ab][9],41
official_baseline_actions[tn36-ef4dde99][1],32
derived_baseline_actions[tn36-ef4dde99][1],32
official_baseline_actions[tn36-ef4dde99][2],72
derived_baseline_actions[tn36-ef4dde99][2],72
official_baseline_actions[tn36-ef4dde99][3],26
derived_baseline_actions[tn36-ef4dde99][3],26
official_baseline_actions[tn36-ef4dde99][4],40
derived_baseline_actions[tn36-ef4dde99][4],40
official_baseline_actions[tn36-ef4dde99][5],30
derived_baseline_actions[tn36-ef4dde99][5],30
official_baseline_actions[tn36-ef4dde99][6],55
derived_baseline_actions[tn36-ef4dde99][6],55
official_baseline_actions[tn36-ef4dde99][7],62
derived_baseline_actions[tn36-ef4dde99][7],62
official_baseline_actions[tr87-cd924810][1],54
derived_baseline_actions[tr87-cd924810][1],54
official_baseline_actions[tr87-cd924810][2],58
derived_baseline_actions[tr87-cd924810][2],58
official_baseline_actions[tr87-cd924810][3],40
derived_baseline_actions[tr87-cd924810][3],40
official_baseline_actions[tr87-cd924810][4],45
derived_baseline_actions[tr87-cd924810][4],45
official_baseline_actions[tr87-cd924810][5],71
derived_baseline_actions[tr87-cd924810][5],71
official_baseline_actions[tr87-cd924810][6],146
derived_baseline_actions[tr87-cd924810][6],146
official_baseline_actions[tu93-0768757b][1],19
derived_baseline_actions[tu93-0768757b][1],19
official_baseline_actions[tu93-0768757b][2],16
derived_baseline_actions[tu93-0768757b][2],16
official_baseline_actions[tu93-0768757b][3],34
derived_baseline_actions[tu93-0768757b][3],34
official_baseline_actions[tu93-0768757b][4],42
derived_baseline_actions[tu93-0768757b][4],42
official_baseline_actions[tu93-0768757b][5],123
derived_baseline_actions[tu93-0768757b][5],123
official_baseline_actions[tu93-0768757b][6],80
derived_baseline_actions[tu93-0768757b][6],80
official_baseline_actions[tu93-0768757b][7],14
derived_baseline_actions[tu93-0768757b][7],14
official_baseline_actions[tu93-0768757b][8],23
derived_baseline_actions[tu93-0768757b][8],23
official_baseline_actions[tu93-0768757b][9],111
derived_baseline_actions[tu93-0768757b][9],111
official_baseline_actions[vc33-5430563c][1],7
derived_baseline_actions[vc33-5430563c][1],13
official_baseline_actions[vc33-5430563c][2],18
derived_baseline_actions[vc33-5430563c][2],18
official_baseline_actions[vc33-5430563c][3],44
derived_baseline_actions[vc33-5430563c][3],119
official_baseline_actions[vc33-5430563c][4],61
derived_baseline_actions[vc33-5430563c][4],50
official_baseline_actions[vc33-5430563c][5],131
derived_baseline_actions[vc33-5430563c][5],120
official_baseline_actions[vc33-5430563c][6],34
derived_baseline_actions[vc33-5430563c][6],39
official_baseline_actions[vc33-5430563c][7],152
derived_baseline_actions[vc33-5430563c][7],155
official_baseline_actions[wa30-ee6fef47][1],71
derived_baseline_actions[wa30-ee6fef47][1],71
official_baseline_actions[wa30-ee6fef47][2],119
derived_baseline_actions[wa30-ee6fef47][2],119
official_baseline_actions[wa30-ee6fef47][3],183
derived_baseline_actions[wa30-ee6fef47][3],183
official_baseline_actions[wa30-ee6fef47][4],98
derived_baseline_actions[wa30-ee6fef47][4],98
official_baseline_actions[wa30-ee6fef47][5],368
derived_baseline_actions[wa30-ee6fef47][5],368
official_baseline_actions[wa30-ee6fef47][6],68
derived_baseline_actions[wa30-ee6fef47][6],68
official_baseline_actions[wa30-ee6fef47][7],79
derived_baseline_actions[wa30-ee6fef47][7],79
official_baseline_actions[wa30-ee6fef47][8],442
derived_baseline_actions[wa30-ee6fef47][8],442
official_baseline_actions[wa30-ee6fef47][9],415
derived_baseline_actions[wa30-ee6fef47][9],415
