run_id=20260905T032217Z_seed12345_ee3b847e experiment=E300_ref runner=ref_world_model seed=12345 config_hash=7fc894e3ee93b2fa8f7fda345c5de28f28409ff33ceb6d6e8aa9de68bb8912c7 git=a06c1a9bc4a9a0c411df94a2537b41ea8bf8d0d0 dirty=True wallclock_limit=7200s network_allowed=0
call 6 (revise) -> h006 sha256=1d394a3d07619026 certified=True checked=51/51 mismatches=0 failure_kind=None
plan 46 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=25775
plan 47 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=26832
plan 48 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=27889
plan 49 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=28946
plan 50 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=30003
plan 51 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=31060
plan 52 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=32117
plan 53 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=33174
plan 54 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=34231
plan 55 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=35288
plan 56 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=36345
plan 57 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=37402
plan 58 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=38459
plan 59 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=39516
plan 60 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=40573
plan 61 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=41630
plan 62 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=42687
plan 63 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=43744
plan 64 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=44801
plan 65 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=45858
plan 66 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=46915
plan 67 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=47972
plan 68 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=49029
plan 69 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=50086
plan 70 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=51143
plan 71 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=52200
plan 72 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=53257
plan 73 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=54314
plan 74 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=55371
plan 75 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=56428
plan 76 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=57485
plan 77 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=58542
plan 78 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=59599
plan 79 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=60656
plan 80 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=61713
plan 81 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=62770
plan 82 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=63827
plan 83 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=64884
plan 84 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=65941
plan 85 from h006: not_found actions=0 nodes=66 steps=1056 budget_used=66998
plan 86 from h006: not_found actions=0 nodes=54 steps=864 budget_used=67863
plan 87 from h006: not_found actions=0 nodes=54 steps=864 budget_used=68728
plan 88 from h006: not_found actions=0 nodes=54 steps=864 budget_used=69593
plan 89 from h006: not_found actions=0 nodes=54 steps=864 budget_used=70458
plan 90 from h006: not_found actions=0 nodes=45 steps=720 budget_used=71179
plan 91 from h006: not_found actions=0 nodes=36 steps=576 budget_used=71756
plan 92 from h006: not_found actions=0 nodes=27 steps=432 budget_used=72189
plan 93 from h006: not_found actions=0 nodes=18 steps=288 budget_used=72478
plan 94 from h006: not_found actions=0 nodes=10 steps=160 budget_used=72639
finished stop_reason=level_budget_exhausted levels=0/8 actions=100 rhae=0.0000 model_calls=6 proposed=6 certified=5 plans_executed=0 mismatches=4 exploration=99
completion_status=completed wallclock_seconds=426.929
